Muestreo	Fecha	Hora	ZT	Notas		1	2	3	4	5			6	7	8	9	10	11
162		8:30:30 a. m.	1.5		0	9	65	0	0	1532	0	0	185	0	0	128	138	654
163		9:00:30 a. m.	2		0	9	0	0	0	2053	0	0	154	0	0	8	86	11
164		9:30:30 a. m.	2.5		0	148	0	0	0	452	0	0	57	0	1330	0	0	205
165		10:00:30 a. m.	3		0	0	9	63	0	173	0	0	599	129	268	38	697	140
166		10:30:30 a. m.	3.5		0	9	9	1918	0	128	0	0	1297	0	0	0	2519	372
167		11:00:30 a. m.	4		0	66	0	0	0	231	0	0	29	0	0	166	153	14
168		11:30:30 a. m.	4.5		0	286	37	0	2	730	0	0	12	510	0	0	153	332
169		12:00:30 p. m.	5		0	0	110	0	0	157	0	0	34	0	0	0	26	28
170		12:30:30 p. m.	5.5		0	0	0	0	0	245	0	0	133	111	0	0	73	42
171		1:00:30 p. m.	6		0	0	19	0	0	383	0	0	0	0	0	6	90	23
172		1:30:30 p. m.	6.5		0	0	0	0	0	138	0	0	0	0	117	375	10	0
173		2:00:30 p. m.	7		0	9	175	68	1	445	0	0	0	113	0	0	51	47
174		2:30:30 p. m.	7.5		0	310	0	545	129	2514	36	191	730	988	208	47	621	62
175		3:00:30 p. m.	8		0	0	0	0	2669	203	0	0	2653	3318	776	111	2717	2079
176		3:30:30 p. m.	8.5		0	126	0	0	1	1	0	0	2400	672	58	0	2803	1891
177		4:00:30 p. m.	9		0	0	0	0	194	0	0	0	447	379	0	0	0	438
178		4:30:30 p. m.	9.5		0	0	0	0	11	0	0	0	71	296	0	0	29	512
179		5:00:30 p. m.	10		0	9	0	9	134	56	0	0	62	147	0	0	10	240
180		5:30:30 p. m.	10.5		0	193	0	1280	45	320	0	0	633	2169	14	0	238	537
181		6:00:30 p. m.	11		0	151	0	509	116	1	0	0	134	278	0	322	0	155
182		6:30:30 p. m.	11.5		0	750	9	0	840	0	0	0	35	788	77	110	747	521
183		7:00:30 p. m.	12		0	0	0	0	66	0	0	0	531	191	6	0	1094	740
184		7:30:30 p. m.	12.5		0	168	183	9	3046	1788	0	0	174	75	1119	61	1201	2690
185		8:00:30 p. m.	13		0	1131	38	167	136	1783	0	0	1225	351	466	910	1912	1111
186		8:30:30 p. m.	13.5		0	131	338	2364	119	1638	0	0	395	501	162	235	1373	0
187		9:00:30 p. m.	14		0	2344	838	404	3233	1487	0	0	2486	511	75	835	2971	3728
188		9:30:30 p. m.	14.5		0	1861	205	114	435	2174	0	0	2734	319	414	387	3108	2536
189		10:00:30 p. m.	15		0	373	0	171	1627	1587	0	0	1843	3392	875	126	1114	3523
190		10:30:30 p. m.	15.5		0	76	0	2015	2798	612	0	0	1367	1026	327	35	1829	780
191		11:00:30 p. m.	16		0	37	9	113	44	718	0	0	1562	698	33	70	1262	1542
192		11:30:30 p. m.	16.5		0	436	0	556	849	956	0	0	2224	285	203	128	1067	2471
193	25-ene-23	12:00:30 a. m.	17		0	214	128	822	287	1742	0	0	359	364	384	244	1228	875
194		12:30:30 a. m.	17.5		0	19	84	2940	695	1884	0	0	586	148	425	727	3085	2119
195		1:00:30 a. m.	18		0	28	1057	284	512	91	0	0	1403	1437	1051	58	3096	607
196		1:30:30 a. m.	18.5		0	73	9	119	1513	805	0	0	234	283	452	311	3316	1050
197		2:00:30 a. m.	19		0	697	0	233	383	1867	0	0	587	151	21	145	580	754
198		2:30:30 a. m.	19.5		0	987	0	242	327	1095	0	0	208	370	65	14	497	507
199		3:00:30 a. m.	20		0	0	138	1813	1905	596	0	0	857	1435	994	34	783	392
200		3:30:30 a. m.	20.5		0	57	9	1556	637	461	0	0	4156	3420	110	351	1200	990
201		4:00:30 a. m.	21		0	37	247	123	21	1904	0	0	652	2293	66	0	1785	2037
202		4:30:30 a. m.	21.5		0	459	194	244	330	2256	0	0	700	1051	50	27	2064	3640
203		5:00:30 a. m.	22		0	9	0	883	897	1160	0	0	1575	0	1180	117	867	2007
204		5:30:30 a. m.	22.5		0	557	139	2407	209	646	0	0	3690	234	267	16	2694	2182
205		6:00:30 a. m.	23		0	601	0	46	201	276	0	0	3265	69	400	0	2569	1872
206		6:30:30 a. m.	23.5		0	36	209	36	838	729	0	0	813	18	8	159	9	1081
207		7:00:30 a. m.	0		0	130	10	54	67	720	0	0	92	74	67	262	918	2041
208		7:30:30 a. m.	0.5		0	36	155	18	385	342	0	0	68	87	28	0	356	1198
209		8:00:30 a. m.	1		0	28	9	57	335	522	0	0	89	9	53	0	0	1796
210		8:30:30 a. m.	1.5		0	48	38	150	621	1324	0	0	23	72	0	0	0	2364
211		9:00:30 a. m.	2		0	72	9	273	11	2683	0	0	46	0	229	0	78	1046
212		9:30:30 a. m.	2.5		0	140	0	56	1196	610	0	0	1482	0	499	0	743	1235
213		10:00:30 a. m.	3		0	0	0	250	130	342	0	0	1643	920	0	173	968	2594
214		10:30:30 a. m.	3.5		0	9	0	29	11	732	0	0	82	2876	0	391	0	1249
215		11:00:30 a. m.	4		0	57	9	281	0	397	0	0	282	240	7	0	0	1617
216		11:30:30 a. m.	4.5		0	74	0	64	0	670	0	14	552	56	37	0	188	1085
217		12:00:30 p. m.	5		0	941	164	56	11	455	0	148	2189	2640	135	122	3085	1448
218		12:30:30 p. m.	5.5		0	596	602	1012	2042	1166	0	167	1680	2199	324	37	1313	2577
219		1:00:30 p. m.	6		0	0	0	0	140	1238	0	16	4150	1179	549	2028	2734	2297
220		1:30:30 p. m.	6.5		0	0	0	0	0	0	0	0	1439	1834	123	1280	1982	1799
221		2:00:30 p. m.	7		0	122	0	10	34	0	0	0	397	0	0	0	10	757
222		2:30:30 p. m.	7.5		0	0	99	277	64	0	0	0	197	0	0	0	0	195
223		3:00:30 p. m.	8		0	109	0	0	60	0	0	0	134	0	0	0	10	0
224		3:30:30 p. m.	8.5		0	0	0	9	42	0	0	0	124	68	0	0	10	51
225		4:00:30 p. m.	9		0	27	0	28	738	163	0	0	620	31	6	0	18	179
